age,overall,potential,wage_eur,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,preferred_foot,value_eur,years_on_contract,position_ATT,position_DEF,position_GK,position_MID,attack_work_rate_High,attack_work_rate_Low,attack_work_rate_Medium,defense_work_rate_High,defense_work_rate_Low,defense_work_rate_Medium
34,85,85,110000.0,3,4,2,64.0,58.0,69.0,72.0,86.0,80.0,1,16.677711496036597,2.0,False,True,False,False,False,False,True,True,False,False
30,85,85,185000.0,3,4,4,65.0,80.0,85.0,86.0,73.0,72.0,1,17.75709238505144,1.0,False,False,False,True,True,False,False,False,False,True
32,85,85,95000.0,4,4,4,73.0,84.0,84.0,85.0,47.0,63.0,1,17.57671069691365,1.0,False,False,False,True,True,False,False,False,False,True
31,85,85,170000.0,3,2,3,92.0,63.0,76.0,78.0,80.0,82.0,1,17.479072229734946,2.0,False,True,False,False,True,False,False,True,False,False
32,85,85,145000.0,3,4,4,89.0,85.0,75.0,80.0,35.0,69.0,1,17.588271519047417,1.0,True,False,False,False,False,False,True,False,True,False
29,85,85,90000.0,3,4,3,70.0,75.0,85.0,81.0,79.0,80.0,1,17.77632374660947,2.0,False,False,False,True,False,False,True,False,False,True
30,85,85,220000.0,4,3,4,80.0,84.0,84.0,87.0,52.0,72.0,0,17.78580249038432,0.0,True,False,False,False,False,False,True,False,False,True
29,85,85,145000.0,3,3,2,72.0,41.0,64.0,70.0,87.0,79.0,1,17.622173069956816,1.0,False,True,False,False,False,False,True,True,False,False
29,85,85,185000.0,3,4,5,77.0,78.0,79.0,89.0,59.0,78.0,1,17.804494623047066,1.0,True,False,False,False,True,False,False,True,False,False
27,85,86,220000.0,3,3,5,82.0,83.0,82.0,84.0,30.0,79.0,1,17.958645300228824,1.0,True,False,False,False,True,False,False,False,True,False
29,85,85,210000.0,3,3,3,80.0,54.0,78.0,80.0,81.0,80.0,1,17.6762402900575,3.0,False,True,False,False,True,False,False,False,False,True
29,85,85,170000.0,2,3,3,55.0,67.0,86.0,81.0,73.0,73.0,1,17.77632374660947,1.0,False,False,False,True,False,False,True,False,False,True
25,85,86,110000.0,4,4,4,83.0,84.0,79.0,86.0,43.0,69.0,1,17.98217579726988,1.0,False,False,False,True,True,False,False,False,False,True
26,85,87,100000.0,3,5,4,68.0,79.0,80.0,81.0,79.0,86.0,1,18.005165315142214,2.0,False,False,False,True,True,False,False,False,False,True
24,85,88,120000.0,1,4,3,67.0,62.0,69.0,74.0,87.0,83.0,1,18.012712520663676,2.0,False,False,False,True,False,False,True,True,False,False
24,85,89,57000.0,2,3,3,82.0,82.0,81.0,84.0,41.0,63.0,0,18.1657885072268,2.0,True,False,False,False,True,False,False,False,False,True
23,85,89,145000.0,3,4,4,84.0,81.0,72.0,85.0,48.0,84.0,1,18.17221939747438,1.0,True,False,False,False,True,False,False,False,False,True
23,85,89,150000.0,3,3,5,90.0,84.0,79.0,84.0,43.0,77.0,1,18.1657885072268,1.0,False,False,False,True,True,False,False,False,False,True
22,85,88,100000.0,2,4,3,95.0,71.0,78.0,83.0,76.0,78.0,1,18.05683732492351,4.0,False,True,False,False,True,False,False,False,False,True
21,85,90,81000.0,3,3,2,73.0,59.0,60.0,69.0,84.0,87.0,1,18.132998684833918,2.0,False,True,False,False,False,False,True,True,False,False
39,84,84,51000.0,5,4,5,65.0,87.0,78.0,79.0,34.0,77.0,1,16.489659276356317,0.0,True,False,False,False,False,False,True,False,True,False
35,84,84,30000.0,2,2,4,87.0,69.0,81.0,83.0,79.0,58.0,1,16.380459992348886,2.0,False,True,False,False,True,False,False,False,False,True
34,84,84,175000.0,4,3,2,58.0,61.0,71.0,68.0,85.0,78.0,1,16.41820031748273,2.0,False,True,False,False,True,False,False,False,False,True
34,84,84,105000.0,3,4,4,85.0,82.0,80.0,88.0,34.0,50.0,1,16.835935492889124,0.0,True,False,False,False,True,False,False,False,True,False
30,84,84,115000.0,3,4,4,77.0,75.0,80.0,86.0,79.0,79.0,1,17.516812556768127,2.0,False,False,False,True,True,False,False,True,False,False
31,84,84,140000.0,3,3,3,66.0,74.0,83.0,79.0,78.0,81.0,1,17.19990085520835,3.0,False,False,False,True,True,False,False,True,False,False
33,84,84,43000.0,2,3,3,66.0,62.0,75.0,74.0,83.0,82.0,1,16.860033043306743,0.0,False,False,False,True,False,False,True,False,False,True
30,84,84,74000.0,2,4,3,73.0,63.0,82.0,77.0,80.0,72.0,1,17.41282284594998,1.0,False,True,False,False,False,False,True,False,False,True
33,84,84,46000.0,2,4,3,82.0,85.0,79.0,86.0,35.0,63.0,0,17.11134746100564,1.0,True,False,False,False,True,False,False,True,False,False
29,84,84,195000.0,4,4,3,77.0,70.0,81.0,80.0,83.0,76.0,0,17.385043282614657,4.0,False,True,False,False,False,False,True,False,False,True
28,84,84,95000.0,2,3,4,60.0,76.0,86.0,84.0,57.0,59.0,1,17.565014657424058,3.0,False,False,False,True,False,False,True,False,False,True
32,84,84,32000.0,3,3,4,69.0,81.0,85.0,85.0,43.0,76.0,0,17.32705602664604,2.0,True,False,False,False,False,False,True,False,False,True
30,84,84,88000.0,2,5,4,82.0,84.0,77.0,87.0,39.0,70.0,1,17.541204009297314,2.0,True,False,False,False,True,False,False,False,True,False
27,84,84,110000.0,2,2,3,79.0,69.0,80.0,80.0,80.0,76.0,0,17.516812556768127,1.0,False,True,False,False,True,False,False,False,False,True
33,84,84,84000.0,3,4,5,75.0,86.0,84.0,86.0,40.0,67.0,0,17.11134746100564,0.0,True,False,False,False,False,False,True,False,False,True
28,84,86,155000.0,3,3,2,50.0,55.0,69.0,70.0,85.0,87.0,1,17.565014657424058,2.0,False,True,False,False,True,False,False,True,False,False
30,84,84,74000.0,2,3,2,64.0,35.0,57.0,58.0,87.0,76.0,1,17.356469910987094,2.0,False,True,False,False,False,False,True,True,False,False
27,84,85,110000.0,3,4,3,78.0,84.0,81.0,80.0,67.0,78.0,1,17.6867115897055,3.0,False,False,False,True,True,False,False,True,False,False
25,84,86,140000.0,2,2,3,79.0,54.0,79.0,80.0,81.0,80.0,0,17.697074376526267,1.0,False,True,False,False,True,False,False,False,False,True
25,84,85,180000.0,3,3,4,80.0,76.0,83.0,88.0,46.0,64.0,1,17.73748391404757,5.0,True,False,False,False,True,False,False,False,False,True
27,84,85,45000.0,3,3,2,62.0,58.0,72.0,66.0,86.0,79.0,1,17.565014657424058,0.0,False,True,False,False,False,False,True,False,False,True
32,84,84,74000.0,3,3,2,61.0,41.0,58.0,62.0,85.0,84.0,1,17.129696599000436,0.0,False,True,False,False,False,True,False,True,False,False
27,84,84,81000.0,3,4,4,88.0,81.0,78.0,85.0,45.0,67.0,1,17.622173069956816,2.0,False,False,False,True,True,False,False,True,False,False
28,84,84,52000.0,3,2,3,88.0,77.0,82.0,83.0,68.0,80.0,0,17.565014657424058,1.0,False,False,False,True,True,False,False,True,False,False
28,84,84,170000.0,3,2,5,78.0,76.0,87.0,83.0,50.0,65.0,0,17.565014657424058,3.0,True,False,False,False,True,False,False,True,False,False
27,84,84,79000.0,3,2,4,75.0,77.0,85.0,88.0,76.0,58.0,0,17.516812556768127,1.0,False,True,False,False,True,False,False,False,True,False
27,84,84,130000.0,3,4,3,83.0,67.0,78.0,82.0,80.0,75.0,1,17.516812556768127,1.0,False,True,False,False,True,False,False,True,False,False
25,84,87,155000.0,3,4,3,91.0,81.0,70.0,82.0,35.0,70.0,1,17.849751213815786,3.0,True,False,False,False,True,False,False,False,False,True
28,84,84,130000.0,3,4,3,69.0,74.0,80.0,79.0,79.0,78.0,1,17.426428497635523,0.0,False,False,False,True,False,False,True,False,False,True
24,84,87,125000.0,2,5,4,63.0,79.0,86.0,80.0,71.0,72.0,1,17.858561843342684,1.0,False,False,False,True,False,False,True,False,False,True
26,84,88,74000.0,2,3,2,69.0,45.0,57.0,59.0,86.0,80.0,1,17.76675429577647,3.0,False,True,False,False,False,False,True,True,False,False
27,84,84,42000.0,3,4,4,83.0,83.0,82.0,87.0,38.0,79.0,0,17.622173069956816,1.0,False,False,False,True,True,False,False,False,False,True
25,84,87,105000.0,3,2,4,90.0,81.0,79.0,85.0,38.0,68.0,0,17.840862266556567,3.0,False,False,False,True,False,False,True,False,True,False
24,84,89,120000.0,3,3,3,78.0,71.0,79.0,86.0,75.0,78.0,1,17.96655047961095,2.0,False,False,False,True,True,False,False,True,False,False
29,84,84,45000.0,2,3,4,76.0,74.0,82.0,87.0,79.0,82.0,0,17.426428497635523,2.0,False,True,False,False,True,False,False,True,False,False
25,84,85,110000.0,3,3,4,74.0,84.0,69.0,83.0,45.0,77.0,1,17.747336210296442,4.0,True,False,False,False,False,False,True,False,False,True
24,84,86,51000.0,3,4,3,78.0,74.0,74.0,80.0,82.0,87.0,1,17.71748324774094,0.0,False,False,False,True,True,False,False,True,False,False
23,84,90,51000.0,3,3,3,93.0,71.0,76.0,81.0,77.0,82.0,0,17.95067713070663,2.0,False,True,False,False,True,False,False,False,False,True
22,84,92,130000.0,3,4,4,82.0,78.0,79.0,84.0,45.0,66.0,0,18.36411040304598,3.0,False,False,False,True,False,False,True,False,False,True
21,84,92,125000.0,3,3,4,84.0,78.0,80.0,87.0,56.0,57.0,0,18.36411040304598,2.0,False,False,False,True,True,False,False,False,False,True
36,83,83,100000.0,3,4,3,59.0,72.0,75.0,78.0,84.0,75.0,1,15.76142084987672,0.0,False,False,False,True,False,False,True,True,False,False
32,83,83,17000.0,3,2,4,80.0,82.0,78.0,84.0,31.0,67.0,0,17.182806422433504,0.0,True,False,False,False,True,False,False,False,True,False
32,83,83,72000.0,3,4,4,61.0,72.0,81.0,79.0,82.0,79.0,1,16.993564429978885,0.0,False,False,False,True,False,False,True,False,False,True
32,83,83,54000.0,3,3,2,67.0,55.0,64.0,59.0,85.0,78.0,1,16.97251102166758,0.0,False,True,False,False,False,True,False,True,False,False
35,83,83,105000.0,3,5,3,66.0,83.0,72.0,78.0,45.0,76.0,1,16.5563506464056,1.0,True,False,False,False,False,False,True,False,False,True
32,83,83,81000.0,4,4,2,72.0,50.0,73.0,67.0,84.0,79.0,1,16.97251102166758,1.0,False,True,False,False,False,False,True,False,False,True
31,83,83,125000.0,3,3,2,66.0,55.0,76.0,72.0,84.0,76.0,1,17.034386422832473,0.0,False,True,False,False,False,False,True,False,False,True
32,83,83,61000.0,3,4,4,72.0,81.0,77.0,81.0,80.0,85.0,1,17.1654146803266,2.0,False,False,False,True,True,False,False,True,False,False
28,83,83,44000.0,2,3,4,81.0,76.0,82.0,87.0,51.0,61.0,1,17.41282284594998,2.0,False,False,False,True,True,False,False,False,False,True
30,83,83,38000.0,2,3,4,83.0,80.0,85.0,82.0,67.0,71.0,0,17.356469910987094,1.0,False,False,False,True,True,False,False,False,False,True
30,83,83,95000.0,3,3,3,81.0,65.0,77.0,79.0,78.0,79.0,0,17.265498135541893,1.0,False,True,False,False,True,False,False,False,False,True
30,83,83,80000.0,3,2,2,81.0,25.0,44.0,62.0,85.0,81.0,1,17.216707972959764,2.0,False,True,False,False,False,True,False,False,False,True
32,83,83,82000.0,3,5,4,85.0,80.0,79.0,83.0,56.0,74.0,1,17.19990085520835,0.0,True,False,False,False,False,False,True,False,False,True
33,83,83,95000.0,3,3,5,90.0,75.0,77.0,87.0,76.0,72.0,1,16.759949589762293,0.0,False,True,False,False,True,False,False,False,False,True
29,83,83,130000.0,2,2,2,58.0,46.0,68.0,68.0,85.0,78.0,1,17.233237274364523,2.0,False,True,False,False,False,False,True,False,False,True
30,83,83,21000.0,3,3,2,68.0,49.0,55.0,63.0,84.0,87.0,1,17.216707972959764,1.0,False,True,False,False,False,False,True,False,False,True
33,83,83,75000.0,3,3,3,63.0,50.0,62.0,64.0,86.0,83.0,0,16.677711496036597,1.0,False,True,False,False,False,False,True,True,False,False
30,83,83,100000.0,2,3,4,72.0,71.0,77.0,82.0,80.0,79.0,1,17.233237274364523,1.0,False,False,False,True,False,False,True,True,False,False
28,83,83,83000.0,2,4,3,73.0,85.0,79.0,80.0,42.0,86.0,0,17.426428497635523,2.0,True,False,False,False,True,False,False,True,False,False
28,83,83,84000.0,3,4,3,82.0,80.0,72.0,81.0,31.0,77.0,1,17.426428497635523,0.0,True,False,False,False,False,False,True,False,False,True
28,83,83,120000.0,3,4,3,69.0,83.0,65.0,77.0,36.0,69.0,1,17.426428497635523,2.0,True,False,False,False,False,False,True,False,False,True
28,83,83,72000.0,3,4,4,92.0,64.0,73.0,80.0,78.0,71.0,1,17.312018149733785,2.0,False,True,False,False,True,False,False,False,False,True
27,83,86,140000.0,2,4,3,70.0,51.0,71.0,74.0,84.0,78.0,1,17.529082649058825,4.0,False,True,False,False,True,False,False,False,False,True
30,83,83,120000.0,3,4,3,72.0,82.0,76.0,81.0,47.0,82.0,1,17.385043282614657,2.0,True,False,False,False,True,False,False,True,False,False
28,83,84,130000.0,2,3,2,75.0,43.0,68.0,64.0,84.0,84.0,1,17.356469910987094,0.0,False,True,False,False,False,False,True,True,False,False
26,83,83,46000.0,2,3,4,81.0,84.0,78.0,83.0,63.0,84.0,1,17.491811255187805,2.0,True,False,False,False,True,False,False,True,False,False
27,83,84,135000.0,3,4,4,70.0,69.0,83.0,88.0,69.0,70.0,1,17.541204009297314,2.0,False,False,False,True,True,False,False,True,False,False
28,83,83,115000.0,2,3,3,69.0,71.0,82.0,81.0,80.0,84.0,1,17.41282284594998,2.0,False,False,False,True,False,False,True,True,False,False
26,83,86,48000.0,3,3,4,83.0,61.0,77.0,80.0,79.0,73.0,0,17.588271519047417,1.0,False,True,False,False,True,False,False,False,False,True
25,83,86,71000.0,3,3,4,82.0,76.0,82.0,86.0,59.0,63.0,0,17.6867115897055,1.0,False,False,False,True,True,False,False,False,False,True
25,83,86,105000.0,2,4,3,60.0,71.0,76.0,76.0,81.0,82.0,1,17.588271519047417,3.0,False,False,False,True,False,False,True,True,False,False
26,83,86,80000.0,2,4,4,85.0,83.0,78.0,87.0,49.0,74.0,1,17.6867115897055,2.0,True,False,False,False,True,False,False,False,False,True
30,83,83,77000.0,2,4,3,80.0,81.0,61.0,78.0,35.0,84.0,1,17.385043282614657,1.0,True,False,False,False,True,False,False,False,False,True
30,83,83,59000.0,3,4,4,71.0,86.0,76.0,86.0,30.0,71.0,1,17.385043282614657,0.0,True,False,False,False,False,False,True,False,False,True
24,83,86,77000.0,2,3,4,78.0,71.0,82.0,84.0,76.0,70.0,0,17.6441519761925,3.0,False,True,False,False,True,False,False,True,False,False
25,83,86,85000.0,3,3,2,77.0,54.0,68.0,71.0,84.0,79.0,0,17.61099976960838,2.0,False,True,False,False,False,True,False,True,False,False
25,83,86,190000.0,3,3,4,82.0,80.0,81.0,83.0,43.0,62.0,0,17.6867115897055,1.0,True,False,False,False,True,False,False,False,False,True
28,83,83,95000.0,2,3,2,63.0,83.0,59.0,70.0,52.0,86.0,1,17.426428497635523,1.0,True,False,False,False,True,False,False,True,False,False
26,83,83,65000.0,3,3,3,82.0,75.0,74.0,79.0,77.0,81.0,0,17.399029524198163,1.0,False,True,False,False,True,False,False,False,False,True
25,83,87,47000.0,1,3,3,74.0,78.0,81.0,82.0,82.0,81.0,0,17.72753358339242,3.0,False,False,False,True,True,False,False,True,False,False
25,83,87,90000.0,3,3,2,81.0,42.0,68.0,70.0,83.0,86.0,0,17.6332229058992,2.0,False,True,False,False,False,False,True,True,False,False
26,83,86,170000.0,1,5,4,92.0,64.0,76.0,79.0,78.0,84.0,0,17.588271519047417,3.0,False,True,False,False,True,False,False,True,False,False
23,83,87,115000.0,2,2,4,85.0,52.0,69.0,79.0,81.0,75.0,1,17.697074376526267,2.0,False,True,False,False,False,False,True,True,False,False
29,83,83,49000.0,1,4,4,88.0,77.0,83.0,84.0,35.0,72.0,1,17.385043282614657,2.0,False,False,False,True,False,False,True,False,True,False
24,83,85,90000.0,2,3,4,69.0,67.0,83.0,88.0,72.0,70.0,1,17.665658180950928,2.0,False,False,False,True,False,False,True,False,False,True
24,83,87,150000.0,2,3,4,84.0,81.0,72.0,86.0,39.0,73.0,1,17.77632374660947,1.0,True,False,False,False,True,False,False,False,False,True
24,83,88,165000.0,3,5,5,93.0,77.0,77.0,86.0,36.0,56.0,0,17.822843761378564,0.0,True,False,False,False,True,False,False,False,False,True
22,83,89,120000.0,3,4,3,74.0,79.0,84.0,83.0,55.0,65.0,1,17.8845373292961,2.0,False,False,False,True,True,False,False,True,False,False
23,83,91,74000.0,3,4,4,91.0,81.0,74.0,85.0,48.0,73.0,1,18.203767754811153,0.0,True,False,False,False,True,False,False,False,False,True
22,83,89,160000.0,1,4,3,86.0,74.0,78.0,79.0,77.0,80.0,1,17.87595358575207,5.0,False,False,False,True,True,False,False,True,False,False
22,83,89,33000.0,2,3,2,81.0,45.0,64.0,72.0,84.0,78.0,1,17.78580249038432,2.0,False,True,False,False,True,False,False,True,False,False
21,83,91,61000.0,2,4,5,82.0,79.0,76.0,86.0,40.0,68.0,1,18.22222981742365,4.0,True,False,False,False,False,False,True,False,False,True
38,82,82,14000.0,4,3,2,80.0,51.0,60.0,61.0,82.0,87.0,1,15.520258832020865,1.0,False,True,False,False,False,False,True,True,False,False
35,82,82,30000.0,3,3,2,40.0,41.0,62.0,63.0,86.0,73.0,1,15.894952224644102,0.0,False,True,False,False,False,True,False,True,False,False
33,82,82,39000.0,3,4,3,57.0,79.0,85.0,78.0,75.0,69.0,1,16.733281344102608,2.0,False,False,False,True,False,False,True,False,False,True
31,82,82,170000.0,4,3,4,82.0,84.0,82.0,80.0,55.0,70.0,0,17.034386422832473,0.0,False,False,False,True,False,False,True,False,False,True
33,82,82,46000.0,3,4,4,62.0,75.0,84.0,82.0,76.0,71.0,1,16.52356082573315,1.0,False,False,False,True,True,False,False,False,False,True
31,82,82,155000.0,3,4,3,65.0,68.0,83.0,81.0,75.0,67.0,1,17.034386422832473,0.0,False,False,False,True,False,False,True,False,False,True
31,82,82,35000.0,2,3,3,83.0,68.0,76.0,76.0,79.0,82.0,0,16.906553056777135,0.0,False,True,False,False,True,False,False,False,False,True
32,82,82,41000.0,3,4,4,61.0,84.0,81.0,81.0,60.0,73.0,1,16.993564429978885,1.0,False,False,False,True,False,False,True,False,False,True
